Date,UK EQUITY,EUR EQUITY,NA EQUITY,ASIA EQUITY,JPN EQUITY,EM EQUITY,WORLD EQUITY EX UK,ABSOLUTE RETURN,PROPERTY,GILTS,GBP CREDIT,LIBOR,LIBOR PLUS 3,GLOBAL AGG,GLOBAL IG,EM DEBT,GLOBAL HY,GBP NON-GILTS BBB 1-5YRS
30/04/2006,0.010552982,-0.003337229,-0.033739353,0.025092643,-0.020920633,0.020016007,-0.021165353,0.005101194,0.014352299,-0.012846915,-0.008281957,0.0038875,0.0063875,-0.028551773,-0.02980309,-0.046872224,0.012880294,0.001064929
31/05/2006,-0.048962517,-0.071924029,-0.059684763,-0.102475485,-0.098121902,-0.141877111,-0.067793295,0.005101194,0.014675459,0.005878463,0.004514864,0.003925525,0.006425525,-0.015656593,-0.016544148,-0.048692653,0.002835701,0.003263366
30/06/2006,0.019863007,0.013081573,0.01135224,0.009782662,-0.000209133,0.009260004,0.01099207,0.005101194,0.02041734,-0.004143757,-0.003842444,0.003961458,0.006461458,0.006933764,0.007175791,0.013806609,-0.00436401,0.002298858
31/07/2006,0.01309585,0.00107496,-0.005930336,-0.009033962,-0.022328626,-0.000429069,-0.008064821,0.017760879,0.012954389,0.011319323,0.009997119,0.003980733,0.006480733,-0.001212525,0.000451281,0.020723405,0.010968296,0.006330668
31/08/2006,0.007107211,0.017005959,0.003441183,0.009826904,-0.002700957,0.004578312,0.006365886,0.016563932,0.010673522,0.010081037,0.007474079,0.004152083,0.006652083,-0.006105553,-0.003046389,0.007674794,0.016454592,0.003213389
30/09/2006,0.015635757,0.027955299,0.039619601,0.032424628,-0.004036361,0.022604962,0.028867619,0.002637041,0.012900935,0.002625876,0.003885692,0.004228333,0.006728333,0.016490641,0.017648446,0.021717212,0.010569746,0.004099269
31/10/2006,0.02985981,0.019616641,0.011394117,0.025473782,-0.004038949,0.026305438,0.014605503,0.00941052,0.009947746,0.00453423,0.005641771,0.004327083,0.006827083,-0.009899902,-0.007927102,-0.000910286,0.015791803,0.003184326
30/11/2006,-0.002880685,0.010455237,-0.01268979,0.030446067,-0.031123984,0.039968231,-0.007964458,0.011798481,0.012287471,0.003434143,0.004549823,0.004375,0.006875,-0.005687317,-0.006068053,-0.018072781,0.020123527,0.00482831
31/12/2006,0.032765577,0.040183946,0.015566018,0.043517048,0.024503347,0.048682727,0.024196048,0.013414003,0.014756558,-0.012451364,-0.008378782,0.004433333,0.006933333,-0.008039998,-0.00692644,0.012135636,0.009673594,-0.000957
31/01/2007,-0.002535663,0.004080028,0.014761585,-0.010986249,0.00602558,-0.015071564,0.01005582,-0.001398062,0.006660369,-0.012956823,-0.008228813,0.004658333,0.007158333,-0.012614212,-0.009218125,-0.005819015,0.008520888,-0.002098411
